wine_id,wine_name,kind_id,country_id,cultivar,sweet_id,acid_id,body_id,tanin_id,proof,price,img
1742,"빌라 다 빈치, 산 지오 2017",1,11,Sangiovese 100%,1,4,5,4,도수 정보가 없습니다.,"70,000원",https://dbscthumb-phinf.pstatic.net/3165_000_10/20191210012336855_OM1H6BGEF.jpg/W0166504.jpg?type=m250&wm=N
1743,도멘 뒤 프레 클로 로제 당주,4,17,"Cabernet Franc, Gamay, Grolleau Noir",1,3,2,2,도수 정보가 없습니다.,"43,000원",https://dbscthumb-phinf.pstatic.net/3165_000_12/20210929014144209_GCPIH1N0K.png/W0169332.png?type=m250&wm=N
1744,"산타 캐롤리나, 카버네 소비뇽 2017",1,14,Cabernet Sauvignon 100%,1,3,3,3,13~14도,가격정보없음,https://dbscthumb-phinf.pstatic.net/3165_000_4/20170929025015944_A9CPHVGYZ.jpg/W0142812.jpg?type=m250&wm=N
1745,"디자이아, 모스카토 스파클링",3,7,Moscato 100%,4,2,2,1,11~12도,가격정보없음,https://dbscthumb-phinf.pstatic.net/3165_000_10/20200107012508670_RYB96RJCZ.jpg/W0164912.jpg?type=m250&wm=N
1746,"안토니오 아레즈, 비비도르 틴토 2017",1,7,"Bobal 85%, Garnacha 15%",1,3,4,3,13~14도,가격정보없음,https://dbscthumb-phinf.pstatic.net/3165_000_4/20170929023531757_DXLMNB9S5.jpg/W0161936.jpg?type=m250&wm=N
1747,벳섹 6 푸토뇨스 2013,2,18,"Furmint 50%, Harslevelu 45%, Muscat 5%",5,2,5,1,도수 정보가 없습니다.,"286,000원",https://dbscthumb-phinf.pstatic.net/3165_000_9/20181115062849818_3I97O0TC5.jpg/W0158466.jpg?type=m250&wm=N
1748,도나루체 2018,2,11,"Malvasia, Greco Bianco, Chardonnay",2,4,3,1,13~14도,"149,000원",https://dbscthumb-phinf.pstatic.net/3165_000_10/20190629012525348_YQSVYESLG.jpg/W0165596.jpg?type=m250&wm=N
1749,"몽그라스, 안투 시라 2019",1,14,Syrah/Shiraz 100%,1,3,4,4,14~15도,가격정보없음,https://dbscthumb-phinf.pstatic.net/3165_000_12/20211224014205282_P3VX45YRT.jpg/W0158007.jpg?type=m250&wm=N
1750,샤또 쉬뒤로 2017,2,17,"Semillon, Sauvignon Blanc",5,3,4,1,14도,"130,000원",https://dbscthumb-phinf.pstatic.net/3165_000_10/20190801021839113_HXJWJ4W0Q.jpg/W0142757.jpg?type=m250&wm=N
1751,"벨라비스타, 알마 그랑 뀌베",3,11,"Chardonnay 77%, Pinot Nero 22%, Pinot Bianco 1%",1,3,3,1,12~13도,"119,000원",https://dbscthumb-phinf.pstatic.net/3165_000_9/20180701075108901_QCLJHXM3B.jpg/W0146833.jpg?type=m250&wm=N
1752,"떼땅져, 녹턴 시티 라이트",3,17,"Chardonnay 40%, Pinot Noir, Pinot Meunier 60%",2,4,3,1,12.5도,"257,000원",https://dbscthumb-phinf.pstatic.net/3165_000_4/20170929020525579_ZX4ZR84P7.jpg/W0161259.jpg?type=m250&wm=N
1753,모스케토 화이트,2,11,Moscato 100%,4,2,2,1,5~6도,"22,500원",https://dbscthumb-phinf.pstatic.net/3165_000_9/20180711012932703_KW9OI79BN.jpg/W0151347.jpg?type=m250&wm=N
1754,오이스터 베이 뀌베 브뤼,3,2,Chardonnay 100%,1,3,2,1,12도,"50,000원",https://dbscthumb-phinf.pstatic.net/3165_000_4/20170929045159732_R2BMJBFXD.jpg/W0159029.jpg?type=m250&wm=N
1755,드보 디 밀레짐 2008,3,17,"Pinot Noir 50%, Chardonnay 50%",1,5,4,1,12도,"200,000원",https://dbscthumb-phinf.pstatic.net/3165_000_10/20200210012411374_STMZXMI4K.jpg/W0166820.jpg?type=m250&wm=N
1756,35 사우스 레세르바 메를로 2016,1,14,Merlot 100%,1,4,3,3,14~15도,"27,000원",https://dbscthumb-phinf.pstatic.net/3165_000_4/20170929020533198_OPHCEW28R.jpg/W0137411.jpg?type=m250&wm=N
1757,샤또 데스미라이 2017,1,17,"Cabernet Sauvignon, Merlot, Cabernet Franc",1,4,4,4,13~14도,"70,000원",https://dbscthumb-phinf.pstatic.net/3165_000_9/20180701075125763_6XB78JHI0.jpg/W0145275.jpg?type=m250&wm=N
1758,"조닌, 프로세코",3,11,Prosecco,1,4,2,1,10.5~11.5도,가격정보없음,https://dbscthumb-phinf.pstatic.net/3165_000_4/20170929024105323_O18QZBPD6.jpg/W0159490.jpg?type=m250&wm=N
1759,린드만 빈 65 샤도네 2015,2,19,Chardonnay 100%,1,3,3,1,13.5도,가격정보없음,https://dbscthumb-phinf.pstatic.net/3165_000_4/20170929030857265_KSEJ2H3J9.jpg/W0137364.jpg?type=m250&wm=N
1760,"투핸즈, 더 보이 리슬링 2015",2,19,Riesling 100%,2,3,2,1,11.2도,가격정보없음,https://dbscthumb-phinf.pstatic.net/3165_000_4/20170929014400232_1KD5MVKKB.jpg/W0153834.jpg?type=m250&wm=N
1761,"까사 델 토끼, 코트 롤란 블랑 드 블랑 2017",3,14,Chardonnay 100%,1,3,3,1,12~13도,"52,800원",https://dbscthumb-phinf.pstatic.net/3165_000_11/20210119012905288_5CSRVQ1JJ.png/W0165107.png?type=m250&wm=N
